,precision,recall,f1-score,support
0.0,0.9302752293577982,0.7836166924265843,0.8506711409395973,647.0
1.0,0.3170731707317073,0.6310679611650486,0.42207792207792205,103.0
accuracy,0.7626666666666667,0.7626666666666667,0.7626666666666667,0.7626666666666667
macro avg,0.6236742000447527,0.7073423267958164,0.6363745315087597,750.0
weighted avg,0.846062146639815,0.7626666666666667,0.7918110055492605,750.0
